Name,Desctipion,Image,Summary,Features,Admission,Address,Phone,,,,
Philadelphia Museum of Art,Extensive collection across many periods with notable American and European works.,images/Philly MOA.jpg,Iconic museum famous for its architecture and broad collections.,"3,4,5,6,9,10,11,12,13,14,16,18",$30 adults.,"2601 Benjamin Franklin Parkway, Philadelphia, PA 19130",(215) 763-8100,,,,
Museum of Fine Arts,"Major collection of American, European, and Latin American art.",images/MFAH.jpg,Leading Texas art institution with free general admission.,"1,3,4,5,6,9,10,11,12,13,14",Free general.,"1001 Bissonnet Street, Houston, TX 77005",(713) 639-7300,,,,
Detroit Institute of Arts,Renowned for diverse collections including Diego Rivera murals.,images/DIA.jpg,Significant Midwest art museum with strong community focus.,"3,4,5,6,9,10,11,12,13,16",$20–$30.,"5200 Woodward Avenue, Detroit, MI 48202",(313) 833-7900,,,,
San Francisco Museum of Modern Art (SFMOMA),Focus on modern and contemporary art with innovative exhibitions.,images/SFMOMA.jpg,Dynamic West Coast leader in modern art.,"3,4,5,6,9,10,11,12,14,17",$30 adults.,"151 Third Street, San Francisco, CA 94103",(415) 357-4000,,,,
The Broad,"Contemporary art collection with works by Warhol, Koons, and more.",images/the broad.jpg,Free contemporary art museum in downtown LA.,"1,2,9,10,12,14,17",Free (timed tickets),"221 South Grand Avenue, Los Angeles, CA 90012",(213) 232-6200,,,,
Whitney Museum of American Art,Focused on 20th–21st century American art.,images/Whitney.jpg,Premier showcase of American modernism and contemporary works.,"3,4,5,6,9,10,11,12,14",$30 adults.,"99 Gansevoort Street, New York, NY 10014",(212) 570-3600,,,,
High Museum of Art,Southern art collections and traveling exhibitions.,images/high.jpg,Atlanta’s leading art museum with vibrant programming.,"3,4,5,6,9,10,11,12,13,14",$20–$25.,"1280 Peachtree Street NE, Atlanta, GA 30309",(404) 733-4400,,,,
National 9/11 Memorial & Museum,Memorial and museum documenting the September 11 attacks.,images/911.jpg,Powerful tribute and historical museum at Ground Zero.,"3,4,5,9,10,11,12,14",$33 adults.,"180 Greenwich Street, New York, NY 10007",(212) 312-8800,,,,
Crystal Bridges Museum of American Art,American art from colonial times to contemporary in a beautiful wooded setting.,images/crystalbridges.jpg,Stunning free museum of American art in Arkansas.,"1,8,9,10,11,12,13,18",Free.,"600 Museum Way, Bentonville, AR 72712",(479) 657-2333,,,,
Minneapolis Institute of Art (Mia),"Global art spanning 5,000 years with strong Asian and decorative arts.",images/MIOA.jpeg,Free comprehensive art museum in the Midwest.,"1,3,4,5,9,10,12,13,16",Free.,"2400 3rd Avenue South, Minneapolis, MN 55404",(612) 870-3000,,,,
The Dalí Museum,"Houses the largest collection of Salvador Dalí's works outside of Spain, featuring paintings, sculptures, and interactive surrealist exhibits in a striking modern building.",images/dali museum.jpg,Premier destination for surrealist art with an extensive Dalí collection.,"3,4,5,6,9,10,11,12,14",$32 for adults,"1 Dali Boulevard, St. Petersburg, FL 33701",(727) 823-3767,,,,
Chihuly Collection (Morean Arts Center),"Showcases large-scale glass sculptures and installations by renowned artist Dale Chihuly, with a studio demonstration area.",images/Chihuly.jpg,Spectacular glass art museum highlighting Chihuly's vibrant blown-glass works.,"3,4,9,10,12,14",$22 for adults.,"720 Central Avenue, St. Petersburg, FL 33701",(727) 822-7872,,,,
Saint Louis Art Museum,"Encyclopedic museum with strong holdings in Asian, European, American, and contemporary art, located in Forest Park.",images/saint louis.jpg,Outstanding free art museum with diverse global collections in a beautiful park setting.,"1,3,4,5,9,10,11,12,13,14,16,18",Free (special exhibitions may have fees).,"1 Fine Arts Drive, St. Louis, MO 63110",(314) 721-0072,,,,
The Field Museum,"Premier natural history museum known for its dinosaur skeletons (including Sue the T. rex), cultural artifacts, and evolutionary biology exhibits.",images/field.jpg,"World-class natural history museum focused on science, anthropology, and immersive exhibits.","3,4,5,6,7,9,10,11,12,13,14,15",$25–$35 for adults (varies with special exhibits).,"1400 South Lake Shore Drive, Chicago, IL 60605",(312) 922-9410,,,,
Kimbell Art Museum,"Renowned for its collection of European, Asian, and ancient art housed in iconic architecture by Louis Kahn and Renzo Piano.",images/kimbell.jpg,Intimate world-class museum with exceptional art and architectural significance.,"1,3,4,5,9,10,11,12,14,18",Free for general admission (special exhibitions may have fees).,"3333 Camp Bowie Boulevard, Fort Worth, TX 76107",(817) 332-8451,,,,
Birmingham Museum of Art,"Features a diverse collection of over 24,000 works including Renaissance, Asian, African, Pre-Columbian, and American art, with a notable sculpture garden.",images/BMA.jpg,Alabama’s leading art museum with broad international collections.,"3,4,5,9,10,12,14,16,18",Free general admission.,"2000 Rev. Abraham Woods Jr. Blvd, Birmingham, AL 35203",(205) 254-2566,,,,
Anchorage Museum,"Showcases Alaskan history, indigenous cultures, art, and science with rotating exhibitions.",images/Anchorage.jpg,Premier museum exploring Alaska’s unique cultural and natural heritage.,"3,4,5,9,10,12,13,14",$20 adults.,"625 C Street, Anchorage, AK 99501",(907) 343-4326,,,,
Phoenix Art Museum,"Largest art museum in the Southwest with strong Latin American, Western American, and modern art collections.",images/PAM.jpg,Major cultural institution showcasing art of the Americas.,"3,4,5,6,9,10,12,14,16",$20–$25 adults.,"1625 N Central Ave, Phoenix, AZ 85004",(602) 257-1880,,,,
Denver Art Museum,"Known for its bold architecture and collections of Native American, Asian, and Western art.",images/DAM.jpg,Dynamic museum with striking design and global collections.,"3,4,5,6,9,10,11,12,13,14",$25–$30 adults.,"100 W 14th Ave Pkwy, Denver, CO 80204",(720) 865-5000,,,,
Yale University Art Gallery,"One of the oldest university art museums with exceptional holdings in European, Asian, and American art.",images/Yale.jpg,World-class university museum with historic and modern treasures.,"1,3,4,5,9,10,12,14",Free.,"1111 Chapel St, New Haven, CT 06510",(203) 432-0600,,,,
Winterthur Museum,"American decorative arts, gardens, and historic estate with vast collections.",images/Winterthur.jpg,Premier American decorative arts and garden museum.,"3,5,6,9,10,11,12,18",$25–$30.,"5105 Kennett Pike, Winterthur, DE 19735",(800) 448-3883,,,, 
Honolulu Museum of Art,"Features Asian, European, and Hawaiian art with a notable collection of Asian works.",images/Honolulu.jpg,Leading Hawaiian art museum with strong Pacific and Asian focus.,"3,4,5,9,10,12,14,16",$20 adults.,"900 S Beretania St, Honolulu, HI 96814",(808) 532-8700,,,,
Boise Art Museum,Focuses on contemporary and regional art with educational programs.,images/Boise.jpg,Idaho’s primary art museum highlighting modern works.,"3,4,5,9,10,12,13,16",$10–$15.,"670 Julia Davis Dr, Boise, ID 83702",(208) 345-8330,,,,
Indianapolis Museum of Art at Newfields,Extensive collection across 500 acres including gardens and historic homes.,images/IMOA.jpg,Major Midwest art museum with beautiful grounds.,"3,4,5,6,9,10,11,12,13,18",Free general (some areas fee).,"4000 Michigan Rd, Indianapolis, IN 46208",(317) 923-1331,,,,
Des Moines Art Center,Modern and contemporary art in an architecturally significant building.,images/DMAC.jpg,Leading contemporary art institution in Iowa.,"1,3,4,5,9,10,12,14",Free.,"4700 Grand Ave, Des Moines, IA 50312",(515) 277-4405,,,,
Spencer Museum of Art,University museum with diverse global collections.,images/Spencer.jpg,Notable university art museum with broad holdings.,"1,3,4,5,9,10,12",Free.,"1301 Mississippi St, Lawrence, KS 66045",(785) 864-4710,,,,
Speed Art Museum,Kentucky’s oldest and largest art museum with strong American and European collections.,images/Speed Art.jpg,Premier Kentucky art institution.,"3,4,5,6,9,10,11,12,14",$20 adults.,"2035 S 3rd St, Louisville, KY 40208",(502) 634-2700,,,,
New Orleans Museum of Art,"Features global art with strengths in French, American, and African collections.",images/NOMA.jpg,Major Southern art museum in City Park.,"3,4,5,6,9,10,12,14,18",$15–$20.,"1 Collins Diboll Circle, New Orleans, LA 70124",(504) 658-4100,,,,
Portland Museum of Art,"Focuses on American and European art, including works by Maine artists like Winslow Homer.",images/PMA.jpg,Leading art museum in Maine.,"3,4,5,9,10,12,14",$20 adults.,"7 Congress Square, Portland, ME 04101",(207) 775-6148,,,,
Baltimore Museum of Art,"Known for its Cone Collection of modern art (Matisse, Picasso) and American decorative arts.",images/BMOA.jpg,Important modern art collection in Maryland.,"1,3,4,5,9,10,12,14,16",Free.,"10 Art Museum Dr, Baltimore, MD 21218",(443) 573-1700,,,,
Mississippi Museum of Art,"Focuses on American art, particularly Southern regional works.",images/MMOA.jpg,Leading cultural institution in Mississippi.,"3,4,5,9,10,12,13,16",$10–$15.,"380 S Lamar St, Jackson, MS 39201",(601) 960-1515,,,,
Montana Museum of Art & Culture,University museum with historical and contemporary Western art.,images/MMOAC.jpg,Key art and culture museum in Montana.,"1,3,4,5,9,10,12",Free/donation.,"University of Montana, Missoula, MT 59812",(406) 243-2019,,,,
Joslyn Art Museum,Features American Western art and European collections.,images/Joslyn.jpg,Nebraska’s major art museum.,"3,4,5,9,10,12,14,16",Free.,"2200 Dodge St, Omaha, NE 68102",(402) 342-3300,,,,
Nevada Museum of Art,Contemporary art with focus on landscape and environment.,images/Nevada.jpeg,Leading contemporary museum in Nevada.,"3,4,5,6,9,10,12",$15–$20.,"160 W Liberty St, Reno, NV 89501",(775) 329-3333,,,,
Currier Museum of Art,American and European art collections.,images/Currier.jpg,Notable New England art museum.,"3,4,5,9,10,12",$20 adults.,"150 Ash St, Manchester, NH 03104",(603) 669-6144,,,,
Newark Museum of Art,"Diverse collections including American, Tibetan, and decorative arts.",images/Newark.jpg,Major urban art museum in New Jersey.,"3,4,5,9,10,12,13,14,16",Free.,"49 Washington St, Newark, NJ 07102",(973) 596-6550,,,,
Georgia O’Keeffe Museum,Dedicated to the works of Georgia O’Keeffe and related modernist art.,images/Georgia.jpg,Premier museum dedicated to O’Keeffe and American modernism.,"3,4,5,9,10,12",$20–$25.,"217 Johnson St, Santa Fe, NM 87501",(505) 946-1000,,,,
North Carolina Museum of Art,Extensive collection spanning ancient to contemporary art with large outdoor park.,images/NC.jpg,Leading Southern art museum with beautiful grounds.,"1,3,4,5,9,10,12,13,18",Free.,"2110 Blue Ridge Rd, Raleigh, NC 27607",(919) 839-6262,,,,
North Dakota Museum of Art,Contemporary art and regional collections.,images/NDMOA.jpg,Primary art museum in North Dakota.,"3,4,5,9,10,12",Free/donation.,"261 Centennial Dr, Grand Forks, ND 58202",(701) 777-4195,,,,
Cleveland Museum of Art,World-class encyclopedic collection with exceptional Asian and European holdings.,images/Cleveland.jpg,One of America’s top art museums.,"1,3,4,5,9,10,11,12,14,16",Free.,"11150 East Blvd, Cleveland, OH 44106",(216) 421-7340,,,,
Philbrook Museum of Art,Art and gardens in a historic villa with strong Native American and American art.,images/Philbrook.jpg,Beautiful museum and garden complex.,"3,4,5,9,10,12,18",$20 adults.,"2727 S Rockford Rd, Tulsa, OK 74114",(918) 748-5309,,,,
Portland Art Museum,Oldest art museum in the Pacific Northwest with diverse global collections.,images/Portland.jpg,Leading art institution in Oregon.,"3,4,5,6,9,10,12,14",$25 adults.,"1219 SW Park Ave, Portland, OR 97205",(503) 226-2811,,,,
RISD Museum,Part of Rhode Island School of Design with strong decorative and contemporary art.,images/RISD.jpg,Excellent university art museum.,"3,4,5,9,10,12",$15–$20.,"20 N Main St, Providence, RI 02903",(401) 454-6500,,,,
Gibbes Museum of Art,Focuses on Southern art and Charleston history.,images/Gibbes.jpg,Historic Southern art museum.,"3,4,5,9,10,12",$20.00 adults.,"135 Meeting St, Charleston, SC 29401",(843) 722-2706,,,,
South Dakota Art Museum,Features regional and Native American art.,images/SDAM.jpg,Key South Dakota art institution.,"3,4,5,9,10,12",Free/donation.,"1030 Medary Ave, Brookings, SD 57007",(605) 688-5423,,,,
Frist Art Museum,Contemporary and traveling exhibitions in a historic post office building.,images/Frist.jpg,Vibrant contemporary art center.,"3,4,5,9,10,12,14",$15–$20.,"919 Broadway, Nashville, TN 37203",(615) 244-3340,,,,
Utah Museum of Fine Arts,University museum with global collections.,images/UMFA.jpeg,Leading Utah art museum.,"3,4,5,9,10,12",$15.00 adults.,"410 Campus Center Dr, Salt Lake City, UT 84112",(801) 581-7332,,,,
Shelburne Museum,"Extensive American folk art, decorative arts, and historic buildings on scenic grounds.",images/Shelburne.jpg,Unique outdoor museum village with vast collections.,"3,5,9,10,12,13,18",$25–$30.,"6000 Shelburne Rd, Shelburne, VT 05482",(802) 985-3346,,,,
Virginia Museum of Fine Arts,"Major collection of African, American, and European art with large sculpture garden.",images/VMFA.jpg,Virginia’s flagship art museum.,"1,3,4,5,9,10,11,12,13,18",Free general.,"200 N Blvd, Richmond, VA 23220",(804) 340-1400,,,,
Seattle Art Museum,"Strong Asian, African, and modern American collections.",images/Seattle.jpg,Major Pacific Northwest art museum.,"3,4,5,6,9,10,11,12,14",$25–$30.,"1300 1st Ave, Seattle, WA 98101",(206) 654-3100,,,,
Huntington Museum of Art,Largest art museum in West Virginia with Appalachian and glass collections.,images/Huntington.jpg,Leading cultural institution in the state.,"3,4,5,9,10,12,18",Free/donation.,"2033 McCoy Rd, Huntington, WV 25701",(304) 529-2701,,,,
Milwaukee Art Museum,Known for its striking architecture and strong modern and contemporary collections.,images/Milwaukee.jpg,Architecturally iconic museum on Lake Michigan.,"3,4,5,6,9,10,11,12,14,18",$25 adults.,"700 N Art Museum Dr, Milwaukee, WI 53202",(414) 224-3200,,,,
Buffalo Bill Center of the West,"Complex of museums covering Western history, art, firearms, and natural history.",images/Buffalo.jpg,Comprehensive Western heritage museum.,"3,4,5,9,10,11,12,13",$25 adults.,"720 Sheridan Ave, Cody, WY 82414",(307) 587-4771,,,,
